archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util
Wormhole,n150,1000.0,MATRIX,BF16,TTSIM,MLP_SIMPLE,default,1,0,MLP_SIMPLE_fc1,True,False,MatMul,1,{'bias': True},"['x_in', 'MLP_SIMPLE_fc1.param']",['MLP_SIMPLE_fc1.out'],x_in[1x1024]:float32;MLP_SIMPLE_fc1.param[1024x2048]:float32,MLP_SIMPLE_fc1.out[1x2048]:float32,MLP_SIMPLE_fc1.param[1024x2048]:float32,ttsim.common,None,False,False,NA,2098176,2048,4196352,4096,{'mac': 2097152},2097152,1024,2048,2097152,95,18214,18,50.0,MEM,18282.0,0.018282,22853,95,0,0.022853000000000002,0.0031178208073514933,0.0,0.7970243955803523,0.0007876599934361668
Wormhole,n150,1000.0,VECTOR,BF16,TTSIM,MLP_SIMPLE,default,1,1,MLP_SIMPLE_relu,False,False,Relu,1,{},['MLP_SIMPLE_fc1.out'],['MLP_SIMPLE_relu.out'],MLP_SIMPLE_fc1.out[1x2048]:float32,MLP_SIMPLE_relu.out[1x2048]:float32,,ttsim.common,None,False,False,NA,2048,2048,4096,4096,"{'cmp': 2048, 'mov': 2048}",0,2048,2048,4096,4,18,18,50.0,MEM,86.0,8.599999999999999e-05,108,0,4,0.000108,0.0,0.027906976744186046,0.1674418604651163,0.1674418604651163
Wormhole,n150,1000.0,VECTOR,BF16,TTSIM,MLP_SIMPLE,default,1,2,MLP_SIMPLE_softmax,False,False,Softmax,1,{'axis': -1},['MLP_SIMPLE_relu.out'],['MLP_SIMPLE_softmax.out'],MLP_SIMPLE_relu.out[1x2048]:float32,MLP_SIMPLE_softmax.out[1x2048]:float32,,ttsim.common,None,False,False,NA,2048,2048,4096,4096,"{'cmp': 2048, 'sub': 2048, 'exp': 2048, 'add': 2048, 'div': 2048}",0,2048,2048,10240,10,18,18,50.0,MEM,86.0,8.599999999999999e-05,108,0,10,0.000108,0.0,0.06976744186046512,0.1674418604651163,0.1674418604651163
Wormhole,n150,1000.0,VECTOR,BF16,TTSIM,MLP_SIMPLE,default,1,3,MLP_SIMPLE_ln,True,False,LayerNormalization,1,{},"['MLP_SIMPLE_softmax.out', 'MLP_SIMPLE_ln.scale', 'MLP_SIMPLE_ln.bias']",['MLP_SIMPLE_ln.out'],MLP_SIMPLE_softmax.out[1x2048]:float32;MLP_SIMPLE_ln.scale[2048]:float32;MLP_SIMPLE_ln.bias[2048]:float32,MLP_SIMPLE_ln.out[1x2048]:float32,MLP_SIMPLE_ln.scale[2048]:float32;MLP_SIMPLE_ln.bias[2048]:float32,ttsim.common,None,False,False,NA,6144,2048,12288,4096,"{'add': 4097, 'sub': 2048, 'mul': 4096, 'div': 2, 'mac': 2048, 'rsqrt': 1}",4096,2048,2048,12292,12,54,18,50.0,MEM,122.0,0.000122,153,0,12,0.000153,0.0,0.059016393442622946,0.35409836065573774,0.1180327868852459
Wormhole,n150,1000.0,MATRIX,BF16,TTSIM,MLP_SIMPLE,default,1,4,MLP_SIMPLE_fc2,True,True,MatMul,1,{'bias': True},"['MLP_SIMPLE_ln.out', 'MLP_SIMPLE_fc2.param']",['MLP_SIMPLE_fc2.out'],MLP_SIMPLE_ln.out[1x2048]:float32;MLP_SIMPLE_fc2.param[2048x512]:float32,MLP_SIMPLE_fc2.out[1x512]:float32,MLP_SIMPLE_fc2.param[2048x512]:float32,ttsim.common,None,False,False,NA,1050624,512,2101248,1024,{'mac': 1048576},1048576,2048,512,1048576,48,9120,5,50.0,MEM,9175.0,0.009175,11469,48,0,0.011469,0.0031389645776566757,0.0,0.7952043596730246,0.0004359673024523161
